Title,Article,Summary,Statement,True statement
Orocrambus angustipennis,"Orocrambus angustipennis is a species of moth in the Crambinae family. It is endemic to New Zealand.   O. angustipennis is present in the North Island, South Island and the Chatham Islands.The wingspan is 34–40 mm for males and 44–50 mm for females. Adults are on wing from November to March in two generations per year.The larvae feed on Cortaderia, including Cortaderia selloana and Cortaderia toetoe. They feed within growing stems and blades.


== References ==","Orocrambus angustipennis is a species of moth in the Crambinae family. It is endemic to New Zealand.    O. angustipennis is present in the North Island, South Island and the Chatham Islands. The wingspan is 34–40 mm for males and 44–50 mm for females. Adults are on wing from November to March in two generations per year.",Orocrambus angustipennis has a wingspan of 34-40mm.,1
Lernajur,"Lernajur (Armenian: Լեռնաջուր), previously known as Halavar (Հալավար; Azerbaijani: Hallavar), is a village in the Lori Province of Armenia.


== References ==


== External links ==
Lernajur at GEOnet Names Server
Report of the results of the 2001 Armenian Census, Statistical Committee of Armenia","Lernajur (Armenian: Լեռնաջուր), previously known as Halavar (Հալավար; Azerbaijani: Hallavar), is a village in the Lori Province of Armenia.


",Lernajur is a village in Armenia.,1
The Prima Donna,"The Prima Donna is a comic opera in two acts with music by Victor Herbert and a libretto by Henry Blossom. Written as a starring vehicle for Fritzi Scheff, the work premiered at the Studebaker Theater in Chicago on October 5, 1908. The production moved to Broadway where it had its New York City debut at the Knickerbocker Theatre on November 30, 1908. It ran at that theatre for total of 72 performances; closing on January 30, 1909. The original production was produced by Charles Dillingham, staged by Fred G. Latham, and conducted by musical director  John Lund. The sets were designed by Homer Emens, and the costumes were created by Elsie de Wolfe. The leading cast included Fritzi Scheff as Mlle. Athenee, a.k.a ""The Prima Donna""; Donald Hall as her love interest, Lieutenant Fernand Drouillard; William K. Harcourt as Athenee's thwarted suitor, Captain Bordenave; James E. Sullivan as the French music hall impresario, Herr Max Gundelfinger; and W. J. Ferguson as Athenee's father, Monsieur Beaurivage.


== References ==


== External link ==
The Prima Donna at the Internet Broadway Database","The Prima Donna is a comic opera in two acts with music by Victor Herbert and a libretto by Henry Blossom. Written as a starring vehicle for Fritzi Scheff, the work premiered at the Studebaker Theater in Chicago on October 5, 1908. The production moved to Broadway where it had its New York City debut at the Knickerbocker Theatre on November 30, 1908.","The Prima Donna premiered on October 5, 1908.",1
Alan Robertson (geneticist),"Alan Robertson  (21 February 1920 – 25 April 1989) was an English population geneticist. Originally a chemist, he was recruited after the Second World War to work on animal genetics on behalf of the British government, and continued in this sphere until his retirement in 1985. He was a major influence in the widespread adoption of artificial insemination of cattle.In addition to his work on agricultural genetics, Robertson undertook extensive studies 
of other branches of genetics, developing an influential secondary theorem of natural selection. He acquired an international reputation, receiving state and academic honours from Europe, America and Asia.


== Education and early life ==
Robertson was born in Preston, Lancashire, the second and only surviving child of John Mouat Robertson, an employee of the Post Office, and his wife Annie, née Grace, who was the younger sister of the University of Cambridge mathematician John Hilton Grace. Annie Robertson died within days of his birth, and Alan was brought up by his aunt Bessie Grace on the family farm at Halewood, near Liverpool. He was educated at Halewood village school from where he won a scholarship to the Liverpool Institute High School in 1930. He distinguished himself there in languages and in science under the tutelage of the chemistry master L. A. Naylor. In 1938 he won a scholarship to Caius College, Cambridge to read chemistry. He graduated in 1941 with an upper second class degree, and became a research student in the Department of Colloidal Science at Cambridge.During the Second World War Robertson served in the Operational Research Section of Coastal Command. The head of the unit was Conrad Hal Waddington, who after the war invited Robertson to join him in a new research body, the National Animal Breeding and Genetics Research Organisation (NABGRO). In an obituary study of Robertson, William G. Hill wrote, ""At this stage Alan could have had no more than a passing acquaintance with genetics, but he did have a firm understanding of practical farming. … Waddington wanted to apply operational research methods to animal breeding and recognized Alan's mathematical talents and ability in operational research.""


== Research and career ==
After spending nine months in the US receiving training in genetics and animal breeding with Sewall Wright and Jay Laurence Lush, Robertson took up his work at NABGRO, based in Edinburgh. The organisation was split into two parts, and Robertson became a member of the Unit of Animal Genetics, where he spent the rest of his career. At first he worked on improving dairy cattle using mathematical and statistical methods to devise the most effective breeding programmes. Away from the everyday work of the Unit, Robertson also worked on evolutionary biology, studying how variation is maintained in populations, and particularly the roles of mutation and of stabilising selection. Hill writes that Robertson made ""original contributions to the theory of genetic change in small populations and introduced a theory of limits to artificial selection … a combination of mathematical insight, quantitative genetic principles, and practical context, of which only he was capable.""Robertson continued to work on dairy-related research and wider theoretical studies. He did much to introduce widespread use of artificial insemination in dairy cattle, and worked for many years on estimating genetic effects that influence quantitative traits, and he developed what became known as the ""secondary theorem of natural selection."" He held the post of Deputy chief scientific officerof his Unit, and kept away from administrative duties. Hill recalled that Robertson ""remained informal, approachable, and 'Alan' to all. His influence was through his papers, as a scientific referee, by personal contact (particularly in his famous morning coffee group), as a conference speaker and organizer, and as an example of efficient (if not organized) hard work."" His doctoral students included William G. Hill, Trudy Mackay and Paul M. Sharp.


=== Awards and honours ===
Robertson was elected a Fellow of the Royal Society (FRS) in 1964. Two years later he was elected a Fellow of the Royal Society of Edinburgh (FRSE). He was appointed Honorary Professor of Edinburgh University (1967), and received honorary degrees and memberships of the United States National Academy of Sciences (1979), the University of Hohenheim (1968), the Agricultural University of Norway (1984), the Danish Agricultural University (1986), the University of Liège (1986), and the Genetics Society of Japan. He was appointed Order of the British Empire in 1965, and received the Gold Medal of the Royal Agricultural Society (1958) and the Order of Isabel la Católica (1974).The Alan Robertson chair of Genetics at the University of Edinburgh is named in his honour. As of 2016 the post is held by Paul M. Sharp.


== Personal life ==
In January 1947, Robertson married Margaret Bernheim, a NABGRO colleague, with whom he had two sons and a daughter. He was a member of the Farmers Club. Robertson retired in 1985, and died in Edinburgh in 1989, aged 69.


== References ==","Alan Robertson  (21 February 1920 – 25 April 1989) was an English population geneticist. Originally a chemist, he was recruited after the Second World War to work on animal genetics on behalf of the British government, and continued in this sphere until his retirement in 1985. He was a major influence in the widespread adoption of artificial insemination of cattle.",Alan Robertson was a population geneticist.,1
Vilar de Canes,"Vilar de Canes is a municipality in the comarca of Alt Maestrat, Castellón, Valencia, Spain.","Vilar de Canes is a municipality in the comarca of Alt Maestrat, Castellón, Valencia, Spain.",Vilar de Canes is in Spain.,1
The Home Maker,"The Home Maker is a 1925 American silent drama film directed by King Baggot and starring Alice Joyce, Clive Brook, and Billy Kent Schaefer. A husband and wife are more successful once they have swapped roles.


== Plot ==
As described in a film magazine review, a man who is conscientious but inefficient in business is married to a woman who does not care for home work because she has great business ability. He attempts suicide because of his repeated failures, but injures himself by paralyzing his lower limbs and becoming an invalid. Thereafter he stays at home with the children and writes, while his wife takes a business position. Both are so happy with their changed circumstances that, when the husband discovers he can use his limbs again, he begs the family doctor not to reveal the fact, lest the happiness of the family be ruined. The doctor accedes, and the family’s bliss continues.


== Cast ==


== Preservation status ==
A print of The Home Maker is preserved in the UCLA Film and Television Archive.


== References ==


== Bibliography ==
Richard Koszarski. An Evening's Entertainment: The Age of the Silent Feature Picture, 1915-1928. University of California Press, 1994. ISBN 0-6841-8415-X


== External links ==

The Home Maker at IMDb
Synopsis at AllMovie
Lobby cards and stills at the Alice Joyce website","The Home Maker is a 1925 American silent drama film directed by King Baggot and starring Alice Joyce, Clive Brook, and Billy Kent Schaefer. A husband and wife are more successful once they have swapped roles.


 == Plot ==
As described in a film magazine review, a man who is conscientious but inefficient in business is married to a woman who does not care for home work because she has great business ability.",Husband and wife swap roles for success.,1
Both Sides of Midnight,"Both Sides of Midnight is a live album by American saxophonist Dexter Gordon recorded at the Jazzhus Montmartre in Copenhagen, Denmark in 1967. It was released on the Black Lion label as The Montmatre Collection Vol. 1, then re-released with an additional track and different title in 1988 to capitalize on the success of the film Round Midnight.


== Critical reception ==
AllMusic critic Michael G. Nastos stated ""A well-recorded live date, one of many Gordon did at the Montmartre, this easily ranks as one of Gordon's best, just shy of his magnum opus Homecoming"".


== Track listing ==
""Devilette"" (Ben Tucker) – 12:37
""For All We Know"" (J. Fred Coots, Sam M. Lewis) – 8:38
""Doxy"" (Sonny Rollins) – 7:08
""Sonnymoon for Two"" (Rollins) – 15:39
""Misty"" (Erroll Garner) – 9:12 Bonus track on 1988 release


== Personnel ==
Dexter Gordon – tenor saxophone
Kenny Drew – piano
Niels-Henning Ørsted Pedersen – bass
Albert Heath – drums


== References ==","Both Sides of Midnight is a live album by American saxophonist Dexter Gordon recorded at the Jazzhus Montmartre in Copenhagen, Denmark in 1967. It was released on the Black Lion label as The Montmatre Collection Vol. 1, then re-released with an additional track and different title in 1988 to capitalize on the success of the film Round Midnight.


","Released in 1967, ""Both Sides of Midnight"" is a live album by Dexter Gordon",1
Sâmia Lima,"Sâmia Raquel Passos Lima (born 8 June 2000) is a Brazilian badminton player. As a junior player, she won the U-17 2016 Pan Am Junior Badminton Championships in the girls' and mixed doubles event. She won her first senior international title at the Brazil International Challenge tournament partnered with Jaqueline Lima. She was a bronze medalist in the women's doubles event at the 2019 Lima Pan American Games.


== Achievements ==


=== Pan American Games ===
Women's doubles


=== Pan Am Championships ===
Women's doubles


=== Pan Am Junior Championships ===
Girls' doubles

Mixed doubles


=== BWF International Challenge/Series (10 titles, 11 runners-up) ===
Women's singles

Women's doubles

Mixed doubles

  BWF International Challenge tournament
  BWF International Series tournament
  BWF Future Series tournament


== References ==


== External links ==
Sâmia Lima at BWF.tournamentsoftware.com
Confederação Brasileira de Badminton Atleta","Sâmia Raquel Passos Lima (born 8 June 2000) is a Brazilian badminton player. As a junior player, she won the U-17 2016 Pan Am Junior Badminton Championships in the girls' and mixed doubles event. She won her first senior international title at the Brazil International Challenge tournament partnered with Jaqueline Lima. She was a bronze medalist in the women's doubles event at the 2019 Lima Pan American Games.


",Sâmia Lima won the U-17 2016 Pan Am Junior Badminton Championships.,1
Pete Cole,"Garth Robert Cole (May 5, 1916 – September 7, 1971) was an American football guard who played four seasons with the New York Giants of the National Football League (NFL). He played college football at Trinity University and attended Stamford High School in Stamford, Texas.


== References ==


== External links ==
Just Sports Stats","Garth Robert Cole (May 5, 1916 – September 7, 1971) was an American football guard who played four seasons with the New York Giants of the National Football League (NFL). He played college football at Trinity University and attended Stamford High School in Stamford, Texas.


 == References ==


== External links ==
Just Sports Stats",Pete Cole played four seasons with the New York Giants.,1
Arthur Robertson (athlete),"Arthur James Robertson (19 April 1879 – 18 April 1957) was a Scottish runner who competed at the 1908 Summer Olympics in London. He won the gold medal in the 3-mile team race and a silver in the steeplechase.


== Career ==
The son of a Glasgow doctor, Robertson was educated at Kelvinside Academy, Glasgow, before moving to King's School, Peterborough at the age of 14.  A brilliant all-round sportsman, he initially concentrated on cycling and only took up serious athletics at the age of 25, after a cycling injury.In 1906, he joined Birchfield Harriers. In March 1908 he won both the English and International Cross-Country Championships and a second-place finish in the 4 mile race at the AAA championship earned him a place at the Olympics.
Robertson won easily in the first round of the 3200 metres steeplechase, finishing in 11:10.0. In the final, he trailed for most of the race.  At the bell, he passed one of the two then-leaders, American John Eisele.  Robertson was not quite able to catch the other leader, however, and trailed fellow Briton Arthur Russell by two yards at the finish. His final time was 10:48.4. At the same Olympics he won gold as a member of the 3-man 3 mile team race; the first Olympic gold won by a Scottish man and the first by a Birchfield athlete. He also participated in the five miles event and finished fifth. His brother David was a member of the British cycling team at the same olympics.On 13 September 1908 Robertson set a world record at 15:01.2 over 5,000 metres, running on a concrete cycle track in Stockholm. He retired from athletics after 1909 season and returned to cycling. Later, together with his brother, he ran a sports shop in Peterborough, and then passed it over to his son.Robertsone was posthumously inducted into the Scottish Sporting Hall of Fame in 2004. In January 2010, a new J D Wetherspoon pub in Perry Barr, Birmingham (close to Perry Barr Stadium, the former home of Birchfield Harriers) was named 'The Arthur Robertson' in his honour.


== References ==


== Further reading ==
Buchanan, Ian  British Olympians. Guinness Publishing (1991) ISBN 0-85112-952-8


== External links ==

Databaseolympics.com
Arthur Robertson at Olympics.com
Arthur Robertson at Olympedia 
Arthur Robertson at the Scottish Sports Hall of Fame","Arthur James Robertson (19 April 1879 – 18 April 1957) was a Scottish runner who competed at the 1908 Summer Olympics in London. He won the gold medal in the 3-mile team race and a silver in the steeplechase.


 == Career ==
The son of a Glasgow doctor, Robertson was educated at Kelvinside Academy, Glasgow, before moving to King's School, Peterborough at the age of 14.  ",Arthur Robertson won a gold and silver medal at the 1908 Olympics.,1
